"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 30 10:48:53 ICT 2022","Fri Dec 30 10:49:08 ICT 2022","15773","Regression","Buying Computer Test","tests.tricentis.order.BuyingCheapComputerTest","tests.tricentis.order.BuyingCheapComputerTest","testCheapComputerBuying","testCheapComputerBuying",""
"passed","Fri Dec 30 10:53:16 ICT 2022","Fri Dec 30 10:53:31 ICT 2022","15047","Default Suite","sdet-demowebshop.tricentis","tests.tricentis.order.BuyingCheapComputerTest","tests.tricentis.order.BuyingCheapComputerTest","testCheapComputerBuying","testCheapComputerBuying",""
"passed","Fri Dec 30 10:48:08 ICT 2022","Fri Dec 30 10:48:24 ICT 2022","15755","Regression","Buying Computer Test","tests.tricentis.order.BuyingStandardComputerTest","tests.tricentis.order.BuyingStandardComputerTest","testStandardComputerBuying","testStandardComputerBuying",""
"passed","Fri Dec 30 10:47:32 ICT 2022","Fri Dec 30 10:47:43 ICT 2022","11420","Regression","Footer Page Test","tests.tricentis.footer.FooterTest","tests.tricentis.footer.FooterTest","testFooterCategoryPage","testFooterCategoryPage",""
"broken","Fri Dec 30 10:52:19 ICT 2022","Fri Dec 30 10:52:19 ICT 2022","3","Default Suite","sdet-demowebshop.tricentis","tests.tricentis.order.BuyingCheapComputerTest","tests.tricentis.order.BuyingCheapComputerTest","testCheapComputerBuying","testCheapComputerBuying",""
"passed","Fri Dec 30 10:48:38 ICT 2022","Fri Dec 30 10:48:53 ICT 2022","14450","Regression","Buying Computer Test","tests.tricentis.order.BuyingCheapComputerTest","tests.tricentis.order.BuyingCheapComputerTest","testCheapComputerBuying","testCheapComputerBuying",""
"passed","Fri Dec 30 10:48:24 ICT 2022","Fri Dec 30 10:48:38 ICT 2022","14443","Regression","Buying Computer Test","tests.tricentis.order.BuyingStandardComputerTest","tests.tricentis.order.BuyingStandardComputerTest","testStandardComputerBuying","testStandardComputerBuying",""
"passed","Fri Dec 30 10:47:43 ICT 2022","Fri Dec 30 10:47:50 ICT 2022","6349","Regression","Footer Page Test","tests.tricentis.footer.FooterTest","tests.tricentis.footer.FooterTest","testFooterHomePage","testFooterHomePage",""
"passed","Fri Dec 30 10:52:47 ICT 2022","Fri Dec 30 10:53:15 ICT 2022","28494","Default Suite","sdet-demowebshop.tricentis","tests.tricentis.order.BuyingCheapComputerTest","tests.tricentis.order.BuyingCheapComputerTest","testCheapComputerBuying","testCheapComputerBuying",""
"passed","Fri Dec 30 10:53:31 ICT 2022","Fri Dec 30 10:53:45 ICT 2022","14042","Default Suite","sdet-demowebshop.tricentis","tests.tricentis.order.BuyingCheapComputerTest","tests.tricentis.order.BuyingCheapComputerTest","testCheapComputerBuying","testCheapComputerBuying",""
"passed","Fri Dec 30 10:47:39 ICT 2022","Fri Dec 30 10:48:08 ICT 2022","29207","Regression","Buying Computer Test","tests.tricentis.order.BuyingStandardComputerTest","tests.tricentis.order.BuyingStandardComputerTest","testStandardComputerBuying","testStandardComputerBuying",""
"passed","Fri Dec 30 10:47:50 ICT 2022","Fri Dec 30 10:47:55 ICT 2022","5474","Regression","Footer Page Test","tests.tricentis.footer.FooterTest","tests.tricentis.footer.FooterTest","testFooterLoginPage","testFooterLoginPage",""
"passed","Fri Dec 30 10:49:08 ICT 2022","Fri Dec 30 10:49:23 ICT 2022","14697","Regression","Buying Computer Test","tests.tricentis.order.BuyingCheapComputerTest","tests.tricentis.order.BuyingCheapComputerTest","testCheapComputerBuying","testCheapComputerBuying",""
